Title,SMILES,Activity,Standard Deviation,Standard Error,Repeat Count,Total Replicates,Aggregation Method,Source,Mean + SE,Mean – SE,Classification,Label
SR-01000076001,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,103.859157753805,25.4750268575477,0.183187673510601,8,24,inverse_variance_weighted,confirmation,104.0423,103.676,Active,1
SR-01000420601,CCN1\C(=C\c2sc3cc(OC)c(OC)cc3[n+]2CC)\C=Cc4ccccc14,117.889908278814,0.783132119116133,0.452141539782741,1,3,inverse_variance_weighted,confirmation,118.342,117.4378,Active,1
SR-01000003049,Cl.COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,115.329657252222,0.512650505362032,0.295978907270967,1,3,inverse_variance_weighted,confirmation,115.6256,115.0337,Active,1
SR-05000001763,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,114.162042631396,0.901981834593615,0.520759455006776,1,3,inverse_variance_weighted,confirmation,114.6828,113.6413,Active,1
SR-01000597799,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(N)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)C,109.875324036079,0.751564547977156,0.43391599408799,1,3,inverse_variance_weighted,confirmation,110.3092,109.4414,Active,1
SR-01000000033,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](O[C@H]5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)C,109.708573410862,1.30323951740419,0.752425686191867,1,3,inverse_variance_weighted,confirmation,110.461,108.9561,Active,1
SR-05000001645,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5C[C@H](N)[C@H](O)[C@H](C)O5)c4c(O)c3C(=O)c12)C(=O)CO,106.513837518768,0.947660031952018,0.547131774547747,1,3,inverse_variance_weighted,confirmation,107.061,105.9667,Active,1
SR-00000008128,CN1CCN(CC1)c2ccc(cn2)c3cccc4cnc(Nc5ccc(cc5)n6cnc(C)n6)nc34,106.23414633591,0.593966946167898,0.342926976259776,1,3,inverse_variance_weighted,confirmation,106.5771,105.8912,Active,1
SR-00000008135,CN1CCN(CC1)c2cc(ccn2)c3cccc4cnc(Nc5ccc(cc5)n6cnc(C)n6)nc34,103.829427785209,0.185054344305075,0.106841175499245,1,3,inverse_variance_weighted,confirmation,103.9363,103.7226,Active,1
SR-00000008945,CC(C)N1CCN(CC1)c2ncn(n2)c3ccc(Nc4ncc5ccc(c(Cl)c5n4)c6cnn(C)c6)cc3,103.52329996431,1.33622852690322,0.771471899706431,1,3,inverse_variance_weighted,confirmation,104.2948,102.7518,Active,1
SR-01000538337,Cc1ccccc1N2Sc3ccccc3C2=O,100.80126538912,0.467792720274739,0.270080252975568,1,3,inverse_variance_weighted,confirmation,101.0713,100.5312,Active,1
SR-01000090616,COc1cc(\C=N\NC(=O)c2cccnc2)cc3SC(=O)Oc13,100.504102945642,0.877525786108581,0.506639748830627,1,3,inverse_variance_weighted,confirmation,101.0107,99.9975,Active,1
SR-00000003745,Cn1nnc(n1)c2ccc(Nc3nccc(n3)c4cc(cc(c4)N5CCCC(O)C5)C#N)cc2,100.395982168141,0.966021783195388,0.5577329365709,1,3,inverse_variance_weighted,confirmation,100.9537,99.8382,Active,1
SR-01000312342,Cc1sc2ccc(Cl)cc2[n+]1CC(O)CS(=O)(=O)O,100.393572474394,0.674220947044733,0.389261645269561,1,3,inverse_variance_weighted,confirmation,100.7828,100.0043,Active,1
SR-01000147638,COc1ccc(cc1)S(=O)(=O)\N=C/2\C=C(Sc3nc[nH]n3)C(=O)c4ccccc24,100.369925765202,0.419824400324204,0.242385730539552,1,3,inverse_variance_weighted,confirmation,100.6123,100.1275,Active,1
SR-01000059899,SC1=NNC(=O)N1CC2CCCO2,100.212349819927,0.318661730220812,0.183979435723418,1,3,inverse_variance_weighted,confirmation,100.3963,100.0284,Active,1
SR-01000212196,CC(=O)N(C1=C(Cl)C(=O)c2ccccc2C1=O)c3cccc(Br)c3,100.11691335188,0.218643036669394,0.126233616077512,1,3,inverse_variance_weighted,confirmation,100.2431,99.9907,Active,1
SR-07000000055,Oc1nnc(S)n1C2CC2,100.116279076166,0.807938355881332,0.466463427256711,1,3,inverse_variance_weighted,confirmation,100.5827,99.6498,Active,1
SR-07000000872,Cc1nn(C)c2SC(=NS(=O)(=O)c12)SCc3c(F)cccc3Cl,100.02872320676,0.779465541495731,0.450024640206598,1,3,inverse_variance_weighted,confirmation,100.4787,99.5787,Active,1
SR-01000059898,SC1=NNC(=O)N1CCc2ccccc2,100.021972656516,0.37255517287305,0.215094829346243,1,3,inverse_variance_weighted,confirmation,100.2371,99.8069,Active,1
SR-05000001922,CC(=O)O[Hg]c1ccccc1,100.004102614932,0.192608745969239,0.111202711333616,1,3,inverse_variance_weighted,confirmation,100.1153,99.8929,Active,1
SR-07000004793,[O-][N+](=O)c1cnc(SC2=NNC(=O)N2c3ccc(OCc4ccccc4)cc3)s1,99.9943441399197,0.634489345423825,0.366322594378395,1,3,inverse_variance_weighted,confirmation,100.3607,99.628,Active,1
SR-01000198690,CC(=O)NC1=C(Cl)C(=O)c2ccccc2C1=O,99.9936603608805,0.355648609691418,0.205333820542256,1,3,inverse_variance_weighted,confirmation,100.199,99.7883,Active,1
SR-01000313315,Sc1nnc(CNc2ccccc2)[nH]1,99.9765216859023,0.730707952158094,0.421874432877476,1,3,inverse_variance_weighted,confirmation,100.3984,99.5546,Active,1
SR-01000008891,[O-][N+](=O)c1ccc2SC3=NCCN3C(=O)c2c1,99.9759813074161,0.0854151088861823,0.0493144361082986,1,3,inverse_variance_weighted,confirmation,100.0253,99.9267,Active,1
