SMILES,Title,Actividad,IC50
Cc1nc(Br)n2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-1,1,0.3
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(cn1)C(F)(F)F,BD-2,1,0.38
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(nc1)C(F)(F)F,BD-3,1,0.41
Cn1cnc2ccn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-4,1,0.42
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(cc1)C(F)(F)F,BD-5,1,0.48
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1ccnc(c1)-c1ccc(OC(F)(F)F)cc1,BD-6,1,0.61
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1ccnc(c1)-c1ccc(cc1)C(F)(F)F,BD-7,1,0.61
Cc1cnn2nc(N)n(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-8,1,0.66
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cc(ncn1)-c1ccc(nc1)C(F)(F)F,BD-9,1,0.66
Cc1ccnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-10,1,0.73
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CC=CC1C(=O)NCc1ccnc(c1)-c1ccc(cc1)C(F)(F)F,BD-11,1,0.76
Cc1cnn2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-12,1,0.8
Cc1nc(Br)n2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-13,1,0.8
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1ccnc(c1)-c1ccc(nc1)C(F)(F)F,BD-14,1,0.83
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(c1)-c1ccc(OC(F)(F)F)cc1,BD-15,1,0.83
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cc(ncn1)-c1ccc(cc1)C(F)(F)F,BD-16,1,0.84
Cn1cnc2ncn(Cc3nc(no3)[C@@H]3CO[C@H](C3)c3ccc(Cl)cc3)c(=O)c12,BD-17,1,0.88
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCC[C@H]1C(=O)NCc1cc(ccn1)-c1ccc(cn1)C(F)(F)F,BD-18,1,0.88
Oc1cc(ccc1-c1cc(CNC(=O)C2CCCN2S(=O)(=O)c2cc3cc(F)ccc3o2)ccn1)C(F)(F)F,BD-19,1,0.97
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3ccc(Cl)c(Cl)c3)c2c1=O,BD-20,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3cccc(n3)-c3cnc(nc3)N3CC4C(C3)C4(F)F)c2c1=O,BD-21,1,1
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(nc1)N1CCC[C@H]1C(F)(F)F)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-22,1,1
C[C@@H](C(=O)Nc1csc(n1)-c1ccc(Cl)c(Cl)c1)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-23,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3ccc(nc3)N3CC4CC4C3)c2c1=O,BD-24,1,1
C[C@@H](C(=O)Nc1csc(n1)-c1cnc(nc1)N1CC2CC2C1)n1cnc2n(C)c(=O)n(CC#N)c(=O)c12,BD-25,1,1
OC1(CCN(CC1)C(CNC(=O)C1(CCCC1)c1ccc(Cl)cc1)Cc1ccccc1)C(F)(F)F,BD-26,1,1
Fc1ccc2oc(cc2c1)S(=O)(=O)N1CCCC1C(=O)NCc1cccc(OCc2ccc(cc2)C#N)c1,BD-27,1,1
Cc1noc(Cn2c(=O)n(C)c3ncn(CC(=O)Nc4cccc(n4)-c4cnc(C)c(c4)C(F)(F)F)c3c2=O)n1,BD-28,1,1
Cc1cc(Cn2c(=O)n(C)c3ncn(CC(=O)Nc4csc(n4)-c4cnc(C)c(c4)C(F)(F)F)c3c2=O)no1,BD-29,1,1
Cc1noc(Cn2c(=O)n(C)c3ncn(CC(=O)Nc4csc(n4)-c4cnc(C)c(c4)C(F)(F)F)c3c2=O)n1,BD-30,1,1
CC#CCn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3ccc(nc3)N3CC4C(C3)C4(F)F)c2c1=O,BD-31,1,1
CC#CCn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CCC[C@H]3C(F)(F)F)c2c1=O,BD-32,1,1
CC#CCn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(nc3)N3CCC[C@@H]3C(F)(F)F)c2c1=O,BD-33,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3ccc(nc3)N3CC4C(C3)C4(F)F)c2c1=O,BD-34,1,1
CCC(=O)Cn1c(=O)n(C)c2ncn([C@@H](C)C(=O)Nc3csc(n3)-c3cnc(C)c(c3)C(F)(F)F)c2c1=O,BD-35,1,1
C[C@@H](C(N)=O)n1cnc2n(C)c(=O)n(Cc3nc(C)no3)c(=O)c12,BD-36,1,1
C[C@@H](C(N)=O)n1cnc2n(C)c(=O)n(Cc3nc(C)no3)c(=O)c12,BD-37,1,1
