Title,SMILES,Category,Actividad
CP-1,C(=O)(OC(C)(C)C)CCCc1ccc(cc1)N(CCCl)CCCl,CP,1
CP-2,C[C@H](N)Cc1ccccc1,CP,1
CP-3,C[S](=O)(=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,CP,1
CP-4,CC(N)COc1c(C)cccc1C,CP,1
CP-5,c1(ccccc1)CC,CP,1
CP-6,c1(c(cc(NC(CCC)=O)cc1)C(C)=O)OCC(CNC(C)C)O,CP,1
CP-7,CCN(CC)C(=O)Nc1ccc(OCC(O)CNC(C)(C)C)c(c1)C(C)=O,CP,1
CP-8,CC(=O)Nc1ccc(O)cc1,CP,1
CN-1,CC(=O)Oc1ccccc1C(O)=O,CN,0
CN-2,C[C@@](Cc1ccc(O)c(O)c1)(NN)C(O)=O,CN,0
CN-3,OC(=O)CCCc1ccc(cc1)N(CCCl)CCCl,CN,0
CP-9,NNCCc1ccccc1.O[S](O)(=O)=O,CP,1
CP-10,NC(=O)OCCCc1ccccc1,CP,1
CN-4,NCC(O)c1ccc(O)c(O)c1,CN,0
CN-5,OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,CN,0
CN-6,CCCNC(=O)N[S](=O)(=O)c1ccc(Cl)cc1,CN,0
CN-7,CCOC(=O)C(C)(C)Oc1ccc(Cl)cc1,CN,0
CN-8,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,CN,0
CP-11,CCN(CC)CCOC(=O)c1ccc(N)cc1,CP,1
CP-12,CC(C)c1cccc(C(C)C)c1O,CP,1
CN-9,NCCc1ccc(O)c(O)c1,CN,0
CN-10,CN[C@@H](C)[C@H](O)c1ccccc1,CN,0
CN-11,CNC[C@H](O)c1ccc(O)c(O)c1,CN,0
CN-12,CCC(=C)C(=O)c1ccc(OCC(O)=O)c(Cl)c1Cl,CN,0
CN-13,NC(N)=N\N=C\c1c(Cl)cccc1Cl,CN,0
CN-14,CC(C)Cc1ccc(cc1)C(C)C(O)=O,CN,0
